StoreID,StoreName,Category,City,OpeningDate
42,Forno a Lenha Shopping,Burgers,São Miguel das Matas,2025-08-23
43,SaborArte Galeria,Burgers,Franciscópolis,2022-02-21
44,Sabor Diário LTDA Pátio,Sushi,Mirangaba,2024-04-20
45,Urban Burger Shopping,Burgers,Heliópolis,2021-10-01
46,Sabor Natural da Casa ME Galeria,Sobremesas,São Raimundo do Doca Bezerra,2025-10-11
47,Street Food Lagoa,Sobremesas,Itapirapuã Paulista,2023-07-29
48,Receitas & Sabores LTDA Lagoa,Pizza,Iturama,2024-02-27
49,Hora do Lanche Pátio,Vegetariano,Carandaí,2025-12-28
50,Lanchonete Central Shopping,Churrasco,Afonso Bezerra,2022-09-19
51,Sabor & Mesa ME Shopping Cidade,Sobremesas,São José do Campestre,2021-09-03
52,André Burguer Shopping Avenida,Vegetariano,Biquinhas,2021-06-21
53,Prato Nobre EIRELI Shopping Avenida,Burgers,Godofredo Viana,2023-01-08
54,Essência da Mesa EIRELI Galeria,Vegetariano,Torrinha,2023-07-18
55,Lu Burguer Avenida,Sobremesas,Alvorada D'Oeste,2021-10-04
56,Sabor Elementar ME Lagoa,Burgers,Tapiraí,2023-01-23
57,Pastelaria Central Cidade,Sobremesas,São Miguel dos Milagres,2021-12-09
58,Prato Feito Avenida,Pizza,Lagoa de Dentro,2024-04-25
59,Pão & Prosa Belvedere,Comida Brasileira,Santa Gertrudes,2023-06-12
60,Big Burger Belvedere,Pizza,Santo Antônio do Aventureiro,2024-12-08
61,Sabor Original EIRELI Shopping Avenida,Sushi,Beneditinos,2024-03-08
62,Prato Rústico ME Shopping Cidade,Churrasco,Morro Reuter,2022-06-19
63,Vini Burguer Shopping Cidade,Sobremesas,Carangola,2024-03-25
64,Espeto & Brasa Terrario Filial,Sobremesas,Uarini,2024-02-07
65,Sabor da Gente LTDA Pátio,Pizza,Patrocínio Paulista,2022-11-11
66,Arte na Cozinha EIRELI Filial,Sobremesas,Upanema,2023-05-09
67,Dinho Burguer Belvedere,Vegetariano,Gravataí,2021-09-08
68,Padaria Gourmet Lagoa,Pizza,Governador Edison Lobão,2022-07-15
69,Cantinho Mineiro Pátio,Burgers,Salgado Filho,2025-08-16
70,Sabor Consciente LTDA Avenida,Sobremesas,Irupi,2023-03-01
71,Mesa Generosa LTDA Filial,Burgers,Alto Longá,2022-06-21
72,Mauro Burguer Shopping Cidade,Churrasco,Tramandaí,2025-01-05
73,Peixe na Brasa Avenida,Comida Brasileira,Barão do Triunfo,2024-04-22
74,Ponto do Tempero ME Avenida,Vegetariano,Ipê,2023-05-18
75,Cozinha Viva EIRELI Shopping Cidade,Pizza,Monte Aprazível,2025-10-26
76,Sabor da Vila Shopping Avenida,Sushi,Itapajé,2022-12-13
77,Forno da Vila EIRELI Lagoa,Burgers,Vale Verde,2023-11-03
78,Bistrô Urb Filial,Churrasco,Bom Jesus do Tocantins,2021-07-22
79,Raízes da Cozinha ME Pátio,Pizza,Alto Bela Vista,2023-01-11
80,Juca Burguer Cidade,Vegetariano,Serra Nova Dourada,2021-05-09
81,Tata Burguer Shopping Avenida,Vegetariano,São Leopoldo,2023-10-07
82,Cozinha da Vila Filial,Burgers,Sumaré,2024-06-29
83,Mesa Autoral ME Filial,Churrasco,Rio Grande,2023-05-11
84,Panela Essencial ME Avenida,Churrasco,Água Azul do Norte,2021-08-23
85,Doce & Salgado Lagoa,Pizza,Poço de José de Moura,2022-11-16
86,Sabor Rústico ME Avenida,Pizza,Ivaté,2025-11-27
87,Diego Burguer Shopping Cidade,Sushi,João Dourado,2023-10-04
88,Cozinha & Sabor EIRELI Shopping,Sobremesas,Porto Feliz,2022-11-21
89,Cozinha Viva EIRELI Shopping,Vegetariano,Guaraíta,2025-04-30
90,Ben Burguer Belvedere,Churrasco,Botelhos,2024-06-12
91,Ponto do Tempero ME Lagoa,Comida Brasileira,Marcelândia,2024-12-25
92,Cozinha do Quintal EIRELI Lagoa,Sobremesas,Quixabeira,2022-04-18
93,Cantina Mexicana Shopping,Burgers,Desterro do Melo,2023-05-02
94,Tio João Burguer Filial,Churrasco,Tenente Ananias,2022-04-08
95,Bom Apetite ME Cidade,Comida Brasileira,Itaguari,2023-03-07
96,Mesa & Receita LTDA Shopping,Sushi,Sebastião Barros,2025-11-09
97,Lu Burguer Cidade,Pizza,São João do Sul,2025-08-31
98,Na Brasa Cidade,Sushi,Nova Veneza,2023-04-26
99,Big Zeca Burguer Filial,Sobremesas,Borá,2026-01-20
100,SaborArte Galeria,Pizza,Ibiquera,2024-09-22
101,Na Brasa Shopping Cidade,Vegetariano,São João Evangelista,2026-01-16
102,Beto Burguer Pátio,Comida Brasileira,Nova Olinda do Maranhão,2024-06-23
103,Mesa Autoral ME Shopping,Churrasco,Santa Vitória do Palmar,2024-02-28
104,Cozinha Viva EIRELI Avenida,Sobremesas,São José do Goiabal,2022-12-12
105,Sabor Cotidiano ME Shopping,Comida Brasileira,Água Santa,2022-04-04
106,Sabor Cotidiano ME Belvedere,Churrasco,Teofilândia,2025-06-01
107,Vida Saudável Filial,Comida Brasileira,Flora Rica,2025-04-12
108,Pastel Express Belvedere,Pizza,Pracinha,2021-11-08
109,Cozinha Criativa LTDA Belvedere,Churrasco,Extrema,2021-06-25
110,Cozinha Essencial EIRELI Lagoa,Comida Brasileira,Iapu,2022-01-05
111,Pizza Nostra Filial,Vegetariano,Imaculada,2022-05-19
112,Burger Point Belvedere,Sushi,Bela Vista de Goiás,2022-06-11
113,Bom Apetite ME Filial,Pizza,Datas,2024-09-02
114,Bruno Burguer Shopping,Burgers,Parapuã,2021-08-15
115,Vida Saudável Shopping Cidade,Sobremesas,Buriti dos Lopes,2024-05-09
116,Cozinha & Fogo LTDA Avenida,Pizza,Riacho de Santo Antônio,2024-04-29
117,Cozinha & Sabor EIRELI Avenida,Sushi,Pouso Redondo,2025-01-23
118,Guto Burguer Lagoa,Sushi,Reserva do Iguaçu,2025-07-31
119,Bruno Burguer Filial,Burgers,Pomerode,2023-03-22
120,Sabor em Movimento LTDA Shopping Cidade,Sobremesas,Pedro do Rosário,2025-10-14
121,Cantina Italiana Cidade,Burgers,Minaçu,2021-03-06
122,Cozinha Viva EIRELI Cidade,Burgers,São Tomé,2022-01-20
123,Pastel do Ponto Shopping,Churrasco,Pio XII,2025-08-25
124,Café & Prosa Belvedere,Sobremesas,Inhaúma,2023-05-08
125,Mesa Autoral ME Lagoa,Churrasco,Berizal,2023-12-22
126,Food Corner Belvedere,Vegetariano,Serranópolis,2022-01-11
127,Burger House Avenida,Sushi,Inácio Martins,2023-07-30
128,Prato & Panela ME Cidade,Pizza,Itacuruba,2024-10-11
129,Sabor em Casa LTDA Pátio,Vegetariano,Jacobina do Piauí,2022-06-05
130,Receita Urbana LTDA Pátio,Churrasco,Calmon,2024-12-09
131,Cozinha & Sabor EIRELI Shopping Cidade,Sobremesas,Cândido Godói,2021-02-09
132,Cozinha Essência EIRELI Avenida,Vegetariano,Eliseu Martins,2023-04-28
133,Vida Saudável Pátio,Comida Brasileira,Lindóia do Sul,2025-05-04
134,Tonhão Burguer Cidade,Burgers,Canhotinho,2022-08-08
135,Mesa Criativa LTDA Cidade,Comida Brasileira,Ibatiba,2025-05-26
136,Sabor do Bairro LTDA Cidade,Comida Brasileira,Timóteo,2021-12-26
137,Pizzaria Bella Massa Shopping Avenida,Pizza,Carmópolis de Minas,2023-08-15
138,Panela Viva LTDA Shopping Cidade,Comida Brasileira,Eugenópolis,2025-05-26
139,Mesa do Sabor LTDA Avenida,Vegetariano,Mogeiro,2022-10-09
140,Mamma Mia Pizza Shopping Cidade,Pizza,Santana do Garambéu,2022-05-19
141,Bistrô Central Avenida,Churrasco,Descoberto,2024-04-05
142,Chapa Quente Shopping Avenida,Burgers,São Nicolau,2022-06-15
143,Burger Grill Shopping,Churrasco,Rio Sono,2025-09-01
144,Cozinha Popular ME Filial,Burgers,Dobrada,2025-08-04
145,Cozinha de Raiz EIRELI Shopping,Sobremesas,Afonso Bezerra,2021-01-31
146,Casa do Sushi Shopping Avenida,Pizza,Irupi,2023-11-03
147,Bistrô Central Belvedere,Sushi,Umbuzeiro,2025-03-28
148,Mesa do Dia LTDA Shopping Cidade,Sushi,Igaracy,2021-03-31
149,Tempero da Casa ME Pátio,Sushi,Varzedo,2022-01-12
150,Maré Cheia Galeria,Sobremesas,Piúma,2024-03-02
151,Juca Burguer Pátio,Comida Brasileira,Conceição do Coité,2023-09-12
152,Receitas & Sabores LTDA Avenida,Vegetariano,Novo Oriente,2023-02-12
153,Ronaldo Burguer Lagoa,Churrasco,Valparaíso,2021-07-28
154,Tempero da Casa ME Filial,Churrasco,Coronel Murta,2023-02-17
155,Sushi Prime II Lagoa,Churrasco,Caldas Novas,2025-11-27
156,Cozinha do Bairro EIRELI Filial,Vegetariano,Jaguaruana,2021-10-01
157,Grill Master Shopping Cidade,Pizza,Araioses,2021-10-23
158,Food Corner Shopping Cidade,Churrasco,Novo Brasil,2025-03-19
159,Diego Burguer Avenida,Pizza,Descanso,2021-09-02
160,Panela & Prosa LTDA Filial,Vegetariano,Laranjal Paulista,2025-08-12
161,Rafa Burguer Galeria,Sobremesas,Gameleira de Goiás,2022-02-24
162,Paulinho Burguer Avenida,Churrasco,Porto Grande,2022-03-04
163,Toque do Chef ME Shopping Cidade,Burgers,Bertioga,2025-02-14
164,Alex Burguer Shopping Avenida,Burgers,Sagrada Família,2025-10-04
165,Cozinha em Casa EIRELI Cidade,Vegetariano,Jundiaí,2022-06-27
166,Mesa & Receita LTDA Pátio,Sobremesas,Tenente Ananias,2023-05-03
167,Bella Cucina Avenida,Comida Brasileira,Rio Novo do Sul,2025-07-27
168,Diego Burguer Filial,Vegetariano,Lutécia,2024-09-05
169,Sapore Italiano Shopping Cidade,Burgers,Cocalinho,2022-11-19
170,Wok & Roll Pátio,Comida Brasileira,Catuji,2025-09-01
171,Nando Burguer Shopping Avenida,Pizza,Encantado,2022-10-16
172,Food House Galeria,Vegetariano,Martinópole,2023-09-25
173,Maré Cheia Pátio,Sushi,Cajobi,2024-06-22
174,Cozinha & Brasa EIRELI Lagoa,Vegetariano,Ibitirama,2024-04-04
175,Vini Burguer Cidade,Pizza,São José de Caiana,2024-10-22
176,Pastel do Ponto Belvedere,Sushi,Ipaussu,2025-06-26
177,Dan Burguer Cidade,Pizza,Porteirinha,2024-12-02
178,Cantinho Mineiro Galeria,Pizza,Tapiraí,2022-02-09
179,Delícias da Casa Pátio,Pizza,Santa Helena de Minas,2023-03-11
180,Pão Quente Lagoa,Comida Brasileira,Alagoinhas,2022-12-29
181,Cozinha do Dia a Dia EIRELI Belvedere,Vegetariano,Jaquirana,2021-08-16
182,Sabor & Mesa ME Cidade,Pizza,Mutunópolis,2023-12-16
183,Fogão a Lenha Filial,Vegetariano,Imbaú,2021-04-05
184,Temaki Bar Shopping Cidade,Vegetariano,Linha Nova,2025-10-16
185,Sabor Brasil Avenida Galeria,Pizza,Itaúba,2023-01-14
186,Cozinha do Dia a Dia EIRELI Avenida,Pizza,Paranhos,2022-12-15
187,Panela do Povo LTDA Avenida,Vegetariano,Betânia,2021-02-21
188,Sushi Prime Pátio,Churrasco,Ibiraci,2021-09-07
189,Forno & Fogo EIRELI Cidade,Pizza,Cupira,2021-07-31
190,Alma Gourmet EIRELI Shopping,Pizza,Nova Brasilândia,2023-01-11
191,Bruno Burguer Filial,Sushi,Américo Brasiliense,2021-08-27
192,Cozinha Criativa LTDA Shopping Cidade,Pizza,Olinda Nova do Maranhão,2021-05-07
193,Mesa Viva LTDA Shopping Avenida,Comida Brasileira,Irati,2023-11-22
194,Wok & Roll Shopping,Vegetariano,Loanda,2021-09-07
195,Trigo & Sabor Avenida,Vegetariano,Presidente Nereu,2025-06-15
196,Panela Crioula LTDA Cidade,Sobremesas,Iguaba Grande,2023-02-08
197,Mundo dos Doces Galeria,Sushi,Benedito Novo,2023-06-14
198,Cozinha Essencial EIRELI Shopping,Sobremesas,Jaguaquara,2025-03-18
199,Thiago Burguer Avenida,Sushi,Novo Cruzeiro,2022-11-26
200,Comida Caseira Belvedere,Burgers,São Miguel do Tocantins,2025-09-01
201,Estação Gourmet Avenida Lagoa,Pizza,Olivença,2022-03-17
202,Seu Chico Burguer Shopping,Vegetariano,Cajuru,2025-12-09
203,Panela Moderna LTDA Galeria,Sobremesas,Glaucilândia,2025-12-25
204,Samuel Burguer Shopping,Sobremesas,Cachoeiro de Itapemirim,2025-02-06
205,Dona Rosa Burguer Cidade,Burgers,Regeneração,2023-02-23
206,Naturalmente Belvedere,Sushi,Rancho Alegre,2025-02-07
207,Raiz do Sabor EIRELI Pátio,Churrasco,Rio Bonito,2024-07-17
208,Chapa Quente Pátio,Vegetariano,Amparo do Serra,2022-09-13
209,Receita da Vovó ME Shopping Cidade,Sushi,Quipapá,2021-11-19
210,Essência da Mesa EIRELI Shopping Cidade,Churrasco,Cutias,2021-11-27
211,Tradição na Mesa LTDA Cidade,Pizza,Itanhandu,2024-09-30
212,Almoço Certo Pátio,Comida Brasileira,Antônio Martins,2024-02-04
213,Mundo dos Doces Shopping Avenida,Pizza,São João de Iracema,2024-09-07
214,Diego Burguer Cidade,Sushi,Tarauacá,2024-07-30
215,Comida Caseira Shopping Avenida,Sushi,Santa Maria do Oeste,2025-01-19
216,Sabor Intenso EIRELI Galeria,Sushi,Montes Claros,2021-07-17
217,Sabor do Bairro LTDA Belvedere,Sobremesas,Custódia,2021-12-01
218,Cozinha Artesanal EIRELI Filial,Churrasco,Abreu e Lima,2021-08-06
219,Mesa Artesanal ME Shopping Avenida,Sobremesas,Parari,2024-07-03
220,Vida Saudável Pátio,Pizza,Perdões,2023-12-20
221,Sushi House Belvedere,Sushi,Taquarana,2022-01-04
222,Sabor da Vila Shopping Cidade,Churrasco,Paramirim,2023-03-13
223,Receita & Mesa ME Shopping,Comida Brasileira,Muzambinho,2022-09-17
224,Forno & Fogo EIRELI Belvedere,Burgers,Mozarlândia,2022-09-12
225,Chapa Quente Galeria,Comida Brasileira,Sanharó,2025-08-23
226,Sabor do Bairro LTDA Filial,Churrasco,Vanini,2024-11-23
227,Ronaldo Burguer Shopping Cidade,Sobremesas,Cordeiro,2022-04-10
228,Enzo Burguer Belvedere,Sushi,Nova Olinda do Norte,2024-09-01
229,Essência Gourmet ME Belvedere,Burgers,Jacareacanga,2022-08-23
230,Kadu Burguer Shopping Cidade,Burgers,Vale Verde,2023-06-14
231,Doce & Salgado Shopping,Sushi,Fernando Prestes,2025-01-06
232,Mesa do Chef ME Belvedere,Sushi,Guiratinga,2023-03-17
233,Café Urbano Shopping Avenida,Pizza,América Dourada,2021-09-21
234,Cozinha de Raiz EIRELI Pátio,Sobremesas,Itobi,2024-11-06
235,Arte do Prato EIRELI Shopping Cidade,Pizza,Timbé do Sul,2025-10-05
236,Sabor da Vila Pátio,Pizza,São Miguel do Anta,2021-11-30
237,Zeca Burguer Shopping,Pizza,Lindóia do Sul,2021-07-06
238,Panela do Povo LTDA Shopping Avenida,Vegetariano,Nova Roma do Sul,2025-09-05
239,Brasa Nobre ME Lagoa,Comida Brasileira,Dias d'Ávila,2021-03-16
240,Sabor em Movimento LTDA Lagoa,Churrasco,Ubaí,2021-11-15
241,Food Corner Shopping Cidade,Pizza,Santana do Piauí,2023-02-03
242,Sabor Cotidiano ME Avenida,Burgers,Elísio Medrado,2022-06-30
243,Sabor da Praça Pátio,Pizza,Santa Luz,2024-07-15
244,Sabor da Terra ME Shopping Avenida,Sushi,Rio das Antas,2025-03-18
245,Sabores da Terra EIRELI Filial,Comida Brasileira,Volta Grande,2025-03-05
246,Dudu Burguer Pátio,Burgers,Aliança,2022-11-25
247,Tio João Burguer Shopping,Sobremesas,Sorocaba,2024-06-28
248,Yakissoba House Cidade,Churrasco,Mambaí,2021-07-31
249,Sushi Way Shopping,Churrasco,Flores de Goiás,2022-06-25
250,Mesa & Lenha EIRELI Shopping Avenida,Burgers,Serra Branca,2024-04-21
251,Grill Master Lagoa,Vegetariano,Parazinho,2021-02-05
252,Ponto do Prato ME Shopping Avenida,Sushi,Ivaí,2024-05-26
253,Leve Sabor Belvedere,Pizza,Sagres,2023-05-03
254,Mesa de Sabores LTDA Belvedere,Vegetariano,Sucupira do Riachão,2024-12-13
255,Léo Burguer Avenida,Churrasco,Vespasiano,2023-07-05
256,Pizza do Chef Filial,Comida Brasileira,Boa Esperança,2024-09-05
257,Raízes Gourmet LTDA Shopping,Sushi,Ribeirãozinho,2025-10-22
258,Doceria Central Shopping Cidade,Sobremesas,Buerarema,2025-03-22
259,Cozinha da Praça EIRELI Cidade,Churrasco,Paulistas,2022-05-25
260,Cozinha Raiz Brasileira EIRELI Shopping,Pizza,Fátima do Sul,2022-09-11
261,El Sabor Lagoa,Churrasco,Içara,2023-08-09
262,Ponto Gourmet Lagoa,Comida Brasileira,Matão,2022-12-07
263,Mesa do Sabor LTDA Shopping Cidade,Pizza,Machado,2021-07-30
264,Mesa & Companhia EIRELI Lagoa,Sushi,Bombinhas,2026-01-03
265,Cozinha & Brasa EIRELI Belvedere,Burgers,Mogi Guaçu,2025-09-10
266,Prato em Foco LTDA Lagoa,Comida Brasileira,Cerrito,2021-08-07
267,Pão & Prosa Lagoa,Pizza,Três Arroios,2023-10-01
268,Mesa Plena ME Pátio,Sobremesas,Japorã,2021-07-26
269,Gui Burguer Pátio,Sobremesas,Pouso Redondo,2021-07-04
270,Toque Natural ME Lagoa,Pizza,Moraújo,2026-01-18
271,Juca Burguer Pátio,Sobremesas,Tramandaí,2025-02-19
272,Cozinha Natural EIRELI Filial,Burgers,Sete Barras,2025-05-11
273,Zeca Burguer Shopping,Comida Brasileira,Bonito de Santa Fé,2025-08-07
274,Renan Burguer Galeria,Sobremesas,Alto Taquari,2022-06-03
275,Panela Cheia LTDA Shopping Cidade,Pizza,Alcântaras,2021-07-25
276,Bistrô Central Avenida,Vegetariano,Presidente Nereu,2025-05-26
277,Oriente Express Shopping,Vegetariano,Mossâmedes,2021-10-05
278,Fogo & Lenha LTDA Avenida,Sushi,São José do Goiabal,2022-08-30
279,Food Corner Filial,Comida Brasileira,São Gonçalo do Rio Preto,2021-08-30
280,Ponto do Prato ME Belvedere,Comida Brasileira,Glorinha,2021-08-29
281,Tradição na Mesa LTDA Shopping Cidade,Sushi,Caraá,2023-01-30
282,Sabor & Companhia LTDA Belvedere,Vegetariano,Dois Lajeados,2024-07-07
283,Burger Point Shopping,Comida Brasileira,São José das Missões,2022-02-06
284,Mesa do Chef ME Belvedere,Burgers,Bonópolis,2025-12-04
285,Sabor Carioca Shopping Avenida,Churrasco,Agrestina,2023-03-05
286,Prato & Panela ME Lagoa,Comida Brasileira,Ametista do Sul,2026-01-02
287,Burger House Galeria,Burgers,Rio Maria,2021-06-02
288,Mauro Burguer Belvedere,Churrasco,Várzea da Roça,2021-10-11
289,Forno Mestre LTDA Shopping Cidade,Sushi,Vila Nova do Sul,2024-08-24
290,Cozinha & Panela EIRELI Shopping Avenida,Vegetariano,São Domingos do Azeitão,2026-01-17
291,Lu Burguer Lagoa,Pizza,São Pedro do Sul,2025-11-21
292,Lu Burguer Pátio,Sushi,Apuí,2025-07-12
293,Mesa Caseira LTDA Lagoa,Churrasco,Timbé do Sul,2023-10-09
294,Ponto do Mata Fome Belvedere,Comida Brasileira,Santa Rita de Ibitipoca,2023-04-20
295,Cozinha Raiz LTDA Belvedere,Pizza,Luís Domingues,2022-10-26
296,Forno Dourado Lagoa,Pizza,Paranã,2023-10-03
297,Doce & Salgado Shopping Avenida,Pizza,Casca,2023-02-10
298,Cozinha do Prato EIRELI Cidade,Pizza,São Tiago,2023-05-05
299,Canto Gourmet EIRELI Shopping Avenida,Comida Brasileira,Ouro Preto do Oeste,2024-06-12
300,Cozinha do Bairro EIRELI Cidade,Sobremesas,Caridade,2022-03-12
301,Bistrô Urbanu Belvedere,Burgers,Caetité,2023-08-20
302,Chef em Casa Lagoa,Comida Brasileira,Arapuá,2024-12-20
303,Açúcar & Afeto Cidade,Sushi,Inhuma,2023-10-09
304,Mateus Burguer Belvedere,Comida Brasileira,Novo Barreiro,2021-09-12
305,Essência Gourmet ME Shopping,Pizza,Bom Repouso,2021-02-27
306,Receita Urbana LTDA Galeria,Pizza,Flores do Piauí,2024-12-23
307,Cozinha Raiz LTDA Belvedere,Vegetariano,Jaguaquara,2025-11-14
308,Guto Burguer Belvedere,Vegetariano,Muliterno,2021-12-06
309,Caio Burguer Filial,Vegetariano,Cocal de Telha,2021-09-14
310,Essência do Prato EIRELI Cidade,Sushi,Prudentópolis,2025-08-27
311,Cozinha Viva EIRELI Cidade,Comida Brasileira,Gameleiras,2022-11-23
312,Receita da Vovó ME Shopping,Churrasco,Ubaí,2025-05-20
313,Chapa Quente Cidade,Sushi,Altamira do Maranhão,2023-05-03
314,Tempero Caseiro 2 Shopping,Burgers,Crixás,2022-03-17
315,Canto do Peixe Cidade,Sobremesas,Piripiri,2024-01-19
316,Sabor Oriental Shopping,Churrasco,Marajá do Sena,2021-08-31
317,La Fiesta Food Lagoa,Sobremesas,Itabuna,2023-02-27
318,Sabor de Casa Shopping Avenida,Pizza,Itaara,2024-03-23
319,Tonhão Burguer Lagoa,Churrasco,Perdizes,2023-07-04
320,João Burguer Galeria,Sobremesas,Croatá,2022-06-04
321,Café & Prosa Shopping Avenida,Burgers,Coronel Martins,2024-10-22
322,Sabor de Casa Avenida,Burgers,Piraí,2025-09-13
323,Ben Burguer Filial,Burgers,Bom Jesus das Selvas,2023-08-27
324,Delícias Express Pátio,Churrasco,Aracaju,2025-07-31
325,Sabor Perfeito EIRELI Belvedere,Pizza,São Vicente Férrer,2021-02-23
326,Peixe na Brasa Filial,Churrasco,Brejo Grande do Araguaia,2025-10-19
327,Léo Burguer Filial,Sobremesas,Delmiro Gouveia,2023-08-18
328,Alex Burguer Shopping Avenida,Burgers,Faria Lemos,2021-12-17
329,Cantina Mexicana Shopping Avenida,Comida Brasileira,Pinhalzinho,2022-03-23
330,Sushi Prime Galeria,Churrasco,Luziânia,2023-05-01
331,Panela Essencial ME Belvedere,Pizza,Torrinha,2022-01-23
332,Essencial Gourmet EIRELI Filial,Vegetariano,Moeda,2021-12-28
333,Mesa Generosa LTDA Galeria,Churrasco,Lagoa do Carro,2025-10-14
334,Delícias Caseiras da Fafa Belvedere,Pizza,Presidente Olegário,2022-05-27
335,Sabor da Vila LTDA Filial,Comida Brasileira,Manoel Urbano,2023-05-26
336,Cozinha Central ME Galeria,Comida Brasileira,Bambuí,2023-06-24
337,Panela Moderna LTDA Avenida,Comida Brasileira,Janduís,2022-11-15
338,Sabor Intenso EIRELI Avenida,Comida Brasileira,Vila Flores,2023-12-31
339,Cozinha do Fogo EIRELI Pátio,Churrasco,Brejo Alegre,2022-10-24
340,Receita & Mesa ME Lagoa,Vegetariano,Urucânia,2023-04-30
341,Sabor & Companhia LTDA Belvedere,Churrasco,Tuneiras do Oeste,2025-05-19
342,Felipe Burguer Galeria,Burgers,Itamarati de Minas,2025-03-27
343,Rafa Burguer Filial,Churrasco,São Domingos do Capim,2023-03-21
344,Guto Burguer Lagoa,Sobremesas,Vitória de Santo Antão,2021-07-06
345,Léo Burguer Lagoa,Comida Brasileira,Angélica,2021-11-12
346,Cozinha de Raiz EIRELI Shopping Avenida,Burgers,Teolândia,2024-09-07
347,Prato & Panela ME Galeria,Sobremesas,São José do Brejo do Cruz,2023-06-08
348,Ponto do Mata Fome Lagoa,Burgers,Paraisópolis,2021-06-15
349,Canto do Prato LTDA Avenida,Pizza,Califórnia,2021-02-10
350,Cozinha Essência EIRELI Shopping,Pizza,Ipiranga de Goiás,2023-12-02
351,Cozinha Criativa LTDA Pátio,Vegetariano,Arapongas,2022-03-12
352,Arte na Cozinha EIRELI Pátio,Burgers,Mucugê,2023-04-23
353,Dan Burguer Shopping Cidade,Vegetariano,Pederneiras,2022-06-16
354,Espeto & Brasa Terrario Shopping Cidade,Pizza,Presidente Getúlio,2024-11-02
355,Vida Saudável Filial,Sobremesas,Divino das Laranjeiras,2025-10-10
356,Tata Burguer Belvedere,Burgers,Corumbiara,2024-09-19
357,Sabor da Vila LTDA Shopping Cidade,Pizza,São Julião,2025-11-07
358,Tata Burguer Lagoa,Burgers,Juara,2021-03-01
359,Panela Simples ME Lagoa,Burgers,Cotiporã,2022-01-12
360,Ponto do Lanche do Zé Filial,Burgers,Ibertioga,2021-09-20
361,Dinho Burguer Shopping,Comida Brasileira,São Domingos do Norte,2022-05-08
